Name,Kilometers Driven,Fuel Type,Transmission,Price
2014 Hyundai Xcent S 1.2,"55,061 km",Petrol,Manual,₹3.86 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2,"49,788 km",Petrol,Manual,₹4.50 Lakh
2016 Hyundai Elite i20 ASTA 1.2 (O),"27,261 km",Petrol,Manual,₹5.43 Lakh
2015 Hyundai Elite i20 MAGNA 1.2,"30,079 km",Petrol,Manual,₹4.44 Lakh
2016 Hyundai Elite i20 SPORTZ 1.2,"21,464 km",Petrol,Manual,₹5.68 Lakh
2018 Hyundai Elite i20 ASTA 1.2 (O),"56,224 km",Petrol,Manual,₹6.88 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,"83,626 km",Petrol,Automatic,₹8.54 Lakh
2015 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"62,072 km",Petrol,Automatic,₹4.16 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2 (O),"51,020 km",Petrol,Manual,₹4.86 Lakh
2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"32,749 km",CNG,Manual,₹5.26 Lakh
2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"59,893 km",Petrol,Manual,₹3.72 Lakh
2017 Hyundai Elite i20 SPORTZ 1.2,"44,558 km",Petrol,Manual,₹5.64 Lakh
2021 Hyundai VENUE SX 1.0 TURBO IMT,"9,340 km",Petrol,Manual,₹9.86 Lakh
2021 Hyundai VENUE SX PLUS 1.0 TURBO DCT,"48,355 km",Petrol,Automatic,₹9.74 Lakh
2016 Hyundai Elite i20 MAGNA 1.2,"38,566 km",Petrol,Manual,₹4.88 Lakh
2019 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,"30,977 km",Petrol,Manual,₹5.98 Lakh
2014 Hyundai Eon MAGNA +,"40,750 km",Petrol,Manual,₹2.24 Lakh
2019 Hyundai VENUE SX 1.0 (O) TURBO,"45,750 km",Petrol,Manual,₹8.11 Lakh
2021 Hyundai VENUE S 1.0 TURBO IMT,"49,880 km",Petrol,Manual,₹8.44 Lakh
2019 Hyundai VENUE SX 1.0 TURBO,"34,899 km",Petrol,Manual,₹8.87 Lakh
2018 Hyundai NEW SANTRO MAGNA CNG,"59,736 km",CNG,Manual,₹4.44 Lakh
2014 Hyundai Elite i20 SPORTZ 1.2,"60,702 km",Petrol,Manual,₹4.31 Lakh
2017 Hyundai Elite i20 SPORTZ 1.2,"98,518 km",Petrol,Manual,₹5.13 Lakh
2016 Hyundai Elite i20 ASTA 1.2,"46,613 km",Petrol,Manual,₹5.25 Lakh
2014 Hyundai Xcent BASE 1.2,"54,098 km",Petrol,Manual,₹3.77 Lakh
2016 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"70,453 km",Petrol,Automatic,₹4.44 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"89,501 km",Petrol,Manual,₹6.82 Lakh
2016 Hyundai Elite i20 SPORTZ 1.2,"46,186 km",Petrol,Manual,₹5.44 Lakh
2021 Hyundai NEW I20 ASTA 1.2 AT,"13,753 km",Petrol,Automatic,₹8.60 Lakh
2018 Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"86,975 km",Petrol,Automatic,₹5.36 Lakh
2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"76,719 km",Petrol,Manual,₹3.72 Lakh
2014 Hyundai Elite i20 SPORTZ 1.2,"58,499 km",Petrol,Manual,₹4.31 Lakh
2021 Hyundai VENUE SX 1.0 TURBO,"34,705 km",Petrol,Manual,₹8.57 Lakh
2014 Hyundai Verna FLUIDIC 1.6 VTVT SX,"65,189 km",Petrol,Manual,₹4.36 Lakh
2013 Hyundai i20 SPORTZ 1.2,"79,768 km",Petrol,Manual,₹3.04 Lakh
2018 Hyundai Elite i20 ASTA 1.4 CRDI (O),"75,355 km",Diesel,Manual,₹6.60 Lakh
2015 Hyundai Creta S 1.6 PETROL,"76,643 km",Petrol,Manual,₹6.52 Lakh
2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"1,09,662 km",CNG,Manual,₹4.14 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2 (O),"77,613 km",Petrol,Manual,₹4.43 Lakh
2019 Hyundai Elite i20 ASTA 1.2  CVT,"25,590 km",Petrol,Automatic,₹6.18 Lakh
2016 Hyundai Creta E PLUS 1.6 PETROL,"56,586 km",Petrol,Manual,₹6.65 Lakh
2016 Hyundai Elite i20 ASTA 1.2,"82,023 km",Petrol,Manual,₹4.98 Lakh
2014 Hyundai i20 SPORTZ 1.2,"35,207 km",Petrol,Manual,₹3.66 Lakh
2018 Hyundai Grand i10 MAGNA U2 1.2 CRDI,"1,13,120 km",Diesel,Manual,₹4.33 Lakh
2018 Hyundai Creta SX PLUS 1.6 PETROL DUAL TONE,"50,556 km",Petrol,Manual,₹8.53 Lakh
2016 Hyundai Xcent S 1.2,"95,722 km",Petrol,Manual,₹3.48 Lakh
2019 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"47,261 km",Petrol,Automatic,₹6.01 Lakh
2011 Hyundai i20 SPORTZ 1.2,"1,22,248 km",Petrol,Manual,₹2.35 Lakh
2017 Hyundai Elite i20 SPORTZ 1.2,"41,718 km",Petrol,Manual,₹4.76 Lakh
2018 Hyundai New Elantra 1.6 SX (O) AT DIESEL,"48,054 km",Diesel,Automatic,₹10.87 Lakh
2016 Hyundai Creta BASE 1.6 PETROL,"53,911 km",Petrol,Manual,₹6.79 Lakh
2016 Hyundai Elite i20 ASTA 1.2,"62,056 km",Petrol,Manual,₹4.81 Lakh
2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"37,525 km",Petrol,Manual,₹3.47 Lakh
2018 Hyundai Creta SX (O) 1.6 DIESEL,"66,796 km",Diesel,Manual,₹10.25 Lakh
2011 Hyundai i10 MAGNA 1.1,"79,115 km",Petrol,Manual,₹1.96 Lakh
2019 Hyundai New Elantra 2.0 SX(O) AT PETROL,"43,333 km",Petrol,Automatic,₹11.07 Lakh
2014 Hyundai i10 SPORTZ 1.1,"21,258 km",Petrol,Manual,₹3.23 Lakh
2011 Hyundai i10 SPORTZ 1.2,"30,375 km",Petrol,Manual,₹2.19 Lakh
2016 Hyundai Elite i20 SPORTZ 1.2,"16,301 km",Petrol,Manual,₹5.26 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2,"30,141 km",Petrol,Manual,₹4.27 Lakh
2018 Hyundai Creta SX (O) 1.6 PETROL,"27,420 km",Petrol,Manual,₹9.83 Lakh
2017 Hyundai Creta SX PLUS AT 1.6 DIESEL,"79,624 km",Diesel,Automatic,₹9.79 Lakh
2019 Hyundai Creta SX 1.6 PETROL,"60,651 km",Petrol,Manual,₹8.71 Lakh
2018 Hyundai Creta SX AT 1.6 DIESEL,"1,07,774 km",Diesel,Automatic,₹10.26 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,"45,445 km",Petrol,Automatic,₹9.06 Lakh
2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"56,392 km",Petrol,Manual,₹3.34 Lakh
2013 Hyundai i10 MAGNA 1.2,"69,725 km",Petrol,Manual,₹2.64 Lakh
2019 Hyundai Creta SX 1.6 PETROL,"70,430 km",Petrol,Manual,₹8.57 Lakh
2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"21,635 km",Petrol,Manual,₹4.58 Lakh
2016 Hyundai Elite i20 ASTA 1.2,"42,817 km",Petrol,Manual,₹5.53 Lakh
2016 Hyundai Creta S 1.6 PETROL,"45,568 km",Petrol,Manual,₹6.82 Lakh
2021 Hyundai AURA S 1.2 CNG,"16,343 km",CNG,Manual,₹7.51 Lakh
2016 Hyundai Elite i20 SPORTZ 1.2,"52,544 km",Petrol,Manual,₹4.28 Lakh
2022 Hyundai AURA SX PLUS 1.2 AMT,"20,883 km",Petrol,Automatic,₹8.36 Lakh
2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"44,823 km",Petrol,Manual,₹4.53 Lakh
2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"45,213 km",Petrol,Manual,₹4.72 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"23,252 km",Petrol,Manual,₹7.54 Lakh
2018 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"65,001 km",Petrol,Automatic,₹5.29 Lakh
2017 Hyundai Creta SX PLUS AT 1.6 PETROL,"90,305 km",Petrol,Automatic,₹8.48 Lakh
2015 Hyundai Xcent S 1.2,"65,203 km",Petrol,Manual,₹3.65 Lakh
2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"41,051 km",Petrol,Manual,₹4.12 Lakh
2014 Hyundai Elite i20 SPORTZ 1.2,"44,599 km",Petrol,Manual,₹3.85 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 DIESEL,"70,630 km",Diesel,Automatic,₹8.52 Lakh
2015 Hyundai i10 MAGNA 1.1,"55,760 km",Petrol,Manual,₹3.08 Lakh
2014 Hyundai Xcent S 1.2,"95,827 km",Petrol,Manual,₹3.60 Lakh
2013 Hyundai i10 SPORTZ 1.2,"72,416 km",Petrol,Manual,₹2.75 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"75,175 km",Petrol,Manual,₹7.54 Lakh
2014 Hyundai Elite i20 SPORTZ 1.2,"55,182 km",Petrol,Manual,₹4.38 Lakh
2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"38,780 km",Petrol,Manual,₹4.71 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2,"52,696 km",Petrol,Manual,₹4.50 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"39,827 km",Petrol,Manual,₹7.64 Lakh
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"40,049 km",Petrol,Automatic,₹4.98 Lakh
2019 Hyundai NEW SANTRO SPORTZ CNG,"70,159 km",CNG,Manual,₹4.81 Lakh
2016 Hyundai Elite i20 ASTA 1.2,"76,293 km",Petrol,Manual,₹4.69 Lakh
2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"33,204 km",Petrol,Manual,₹3.85 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"77,926 km",Petrol,Manual,₹7.74 Lakh
2022 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"15,638 km",CNG,Manual,₹7.09 Lakh
2012 Hyundai i10 SPORTZ 1.2,"1,18,765 km",Petrol,Manual,₹2.42 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"1,01,128 km",Petrol,Manual,₹7.01 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,"73,228 km",Petrol,Automatic,₹8.02 Lakh
2017 Hyundai Creta SX PLUS AT 1.6 PETROL,"91,055 km",Petrol,Automatic,₹8.69 Lakh
2014 Hyundai Xcent S 1.2,"42,400 km",Petrol,Manual,₹4.01 Lakh
2017 Hyundai Creta SX PLUS AT 1.6 PETROL,"60,410 km",Petrol,Automatic,₹8.36 Lakh
2018 Hyundai Creta SX AT 1.6 PETROL,"50,441 km",Petrol,Automatic,₹10.49 Lakh
2021 Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"11,769 km",Petrol,Automatic,₹7.37 Lakh
2018 Hyundai Creta SX AT 1.6 PETROL,"57,206 km",Petrol,Automatic,₹10.53 Lakh
2015 Hyundai i10 SPORTZ 1.1,"54,825 km",Petrol,Manual,₹3.23 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,"56,441 km",Petrol,Automatic,₹9.24 Lakh
2016 Hyundai Creta SX PLUS 1.6 PETROL,"71,684 km",Petrol,Manual,₹7.35 Lakh
2015 Hyundai Creta SX 1.6 DIESEL,"62,018 km",Diesel,Manual,₹8.62 Lakh
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"25,723 km",Petrol,Automatic,₹5.60 Lakh
2020 Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,"11,709 km",Petrol,Automatic,₹7.12 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,"57,440 km",Petrol,Automatic,₹7.80 Lakh
2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"32,331 km",Petrol,Manual,₹5.01 Lakh
2019 Hyundai NEW SANTRO SPORTZ CNG,"73,820 km",CNG,Manual,₹5.02 Lakh
2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"20,257 km",Petrol,Manual,₹5.16 Lakh
2015 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"6,323 km",Petrol,Automatic,₹4.33 Lakh
2012 Hyundai i10 SPORTZ 1.2,"17,469 km",Petrol,Manual,₹2.48 Lakh
2016 Hyundai Creta S 1.6 PETROL,"48,962 km",Petrol,Manual,₹7.15 Lakh
2015 Hyundai Elite i20 MAGNA 1.2,"69,078 km",Petrol,Manual,₹4.07 Lakh
2011 Hyundai i20 ASTA 1.2,"91,912 km",Petrol,Manual,₹1.90 Lakh
2012 Hyundai i20 SPORTZ 1.2,"45,123 km",Petrol,Manual,₹2.67 Lakh
2015 Hyundai i10 MAGNA 1.1,"58,859 km",Petrol,Manual,₹2.99 Lakh
2012 Hyundai i20 MAGNA 1.2,"54,639 km",Petrol,Manual,₹2.99 Lakh
2015 Hyundai Xcent SX 1.2,"64,152 km",Petrol,Manual,₹3.93 Lakh
2014 Hyundai i10 SPORTZ 1.1,"49,875 km",CNG,Manual,₹2.87 Lakh
2020 Hyundai AURA SX PLUS 1.2 AMT CRDI,"58,033 km",Diesel,Automatic,₹6.84 Lakh
2021 Hyundai Creta SX (O) 1.4 TURBO DCT,"47,425 km",Petrol,Automatic,₹14.28 Lakh
2016 Hyundai Creta SX PLUS 1.6 PETROL,"69,147 km",Petrol,Manual,₹7.16 Lakh
2014 Hyundai Elite i20 SPORTZ 1.4 CRDI,"55,660 km",Diesel,Manual,₹5.03 Lakh
2018 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"16,777 km",Petrol,Manual,₹4.98 Lakh
2017 Hyundai Elite i20 SPORTZ 1.2,"11,293 km",Petrol,Manual,₹5.46 Lakh
2022 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"11,942 km",CNG,Manual,₹6.80 Lakh
2014 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"35,272 km",Petrol,Manual,₹3.94 Lakh
2014 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"59,799 km",Petrol,Automatic,₹3.54 Lakh
2019 Hyundai NEW SANTRO MAGNA,"16,489 km",Petrol,Manual,₹4.30 Lakh
2011 Hyundai i20 SPORTZ (O) 1.2,"72,888 km",Petrol,Manual,₹2.62 Lakh
2015 Hyundai Xcent S 1.2,"33,329 km",CNG,Manual,₹4.21 Lakh
2011 Hyundai i10 MAGNA 1.2,"32,454 km",Petrol,Manual,₹2.16 Lakh
2017 Hyundai Creta SX PLUS AT 1.6 PETROL,"86,350 km",Petrol,Automatic,₹8.27 Lakh
2011 Hyundai i10 SPORTZ 1.2 AT,"51,622 km",Petrol,Automatic,₹2.63 Lakh
2017 Hyundai Creta E PLUS 1.6 PETROL,"93,555 km",Petrol,Manual,₹6.78 Lakh
2019 Hyundai VENUE E 1.2,"6,600 km",Petrol,Manual,₹6.52 Lakh
2016 Hyundai i20 Active 1.2 SX,"45,237 km",Petrol,Manual,₹4.85 Lakh
2017 Hyundai Verna 1.6 VTVT S AT,"57,376 km",Petrol,Automatic,₹5.27 Lakh
2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"33,236 km",Petrol,Manual,₹3.51 Lakh
2013 Hyundai Verna FLUIDIC 1.6 VTVT SX,"65,914 km",Petrol,Manual,₹3.75 Lakh
2016 Hyundai Creta SX PLUS 1.6 DIESEL,"77,586 km",Diesel,Manual,₹7.86 Lakh
2017 Hyundai New Elantra 1.6 SX AT O,"47,713 km",Diesel,Automatic,₹11.89 Lakh
2017 Hyundai New Elantra 2.0 SX(O) AT PETROL,"76,064 km",Petrol,Automatic,₹8.15 Lakh
2019 Hyundai VENUE S 1.2,"5,114 km",Petrol,Manual,₹7.02 Lakh
2021 Hyundai AURA SX 1.2 (O),"16,365 km",Petrol,Manual,₹6.89 Lakh
2013 Hyundai i10 MAGNA 1.1,"32,961 km",Petrol,Manual,₹2.34 Lakh
2016 Hyundai Elite i20 SPORTZ 1.2,"73,601 km",Petrol,Manual,₹4.55 Lakh
